station_id,dealer_id,country_code,station_name,latitude,longitude,address,postal_code,city
46866,13,FR,RENAULT NEVERS,47.052297,3.143726000000015,ZA LES COMMAILLES,58640,VARENNES VAUZELLES
11293,700,DE,REIFEN-STAHL,51.40102,7.16598,An der Ruhrbrücke 7,45525,Hattingen
77601,13,FR,SARL DANIEL AUTO,44.05218929999999,3.985603699999956,13 AV PASTEUR ROLLIN,30140,ANDUZE
83828,236,DE,HANS TESMER AG & CO. KG,53.46227,9.697049999999999,Lüneburger Schanze 14,21614,Buxtehude
76416,15,FR,FIRST STOP LUX AUTO BISCAROSSE,44.3990885,-1.1648844,148 Avenue de la République,40600,BISCAROSSE
30716,23,FR,PROFIL PLUS NIORT,46.32443139823181,-0.45588099081771816,36 avenue de Paris,79000,NIORT
40869,9,FR,SARL NICOLAS JUNIOR,43.482079,5.412107499999999,865 AVENUE HENRI RODARI,13080,LUYNES
34234,61,FR,GARAGE DU COUDE,46.78282,6.283316,9 ROUTE DE LAUSANNE,25160,LABERGEMENT SAINTE-MARIE
38851,13,FR,PRAHECQ AUTOMOBILES,46.2878836,-0.4138289,71 RTE DE NIORT,79230,PRAHECQ
31276,29,FR,GARAGE GUTH,48.3268254,7.3332112,ROUTE DE VILLE,67220,ST MAURICE
84841,91,DE,EUROMASTER EISENHÜTTENSTADT,52.1688406,14.5982609,An der Pohlitzer Mühle 1,15890,Eisenhüttenstadt
35091,19,FR,SPEEDY TOUQUES/DEAUVILLE,49.3518,0.0919023,Z.I. De Touques,14800,Deauville
85737,220,DE,PIT STOP,53.5471916,10.1536607,Willinghusener Weg 1,22113,Oststeinbek
28558,1,FR,EUROMASTER LANESTER,47.7735821,-3.3469003,68 AVENUE AMBROISE CROIZAT,56600,Lanester
38889,13,FR,RENAULT ALBERT GROUPE GUEUDET,49.9953434,2.658211,CHE du Croisé-de-Bellevue Route de Péronne,80300,ALBERT
83044,239,DE,HEINRICH WEISS E. K,48.76307,12.8139085,Hauptstr. 4,94563,Otzing
1761,91,DE,EUROMASTER LIMBURG,50.3955,8.06116,Westerwaldstr. 80 - 86,65549,Limburg
35406,26,FR,FEU VERT VANNES,47.660228592599225,-2.793292278200738,34 rue Marcellin Berthelot,56000,VANNES
287,85,DE,REIFEN BABACAN GMBH,52.32899,8.62962,Daimlerstraße 38,32312,Lübbecke
43566,9,FR,SARL DROCHE FRERES,47.76561618453232,6.103081419296245,9 RUE GENERAL DETRIE ZA,70160,FAVERNEY
43294,63,FR,GARAGE VIEMONT,47.82259199751177,-0.8960031203131393,12 rue d'Ampoigné - Zone Artisanale - Pommerieux,53400,CRAON
